Nome,Tipo,Link,Arquivo
Aplicativo fornece dados sobre a pandemia para povos indígenas,Artigo / Reportagem,https://radios.ebc.com.br/tarde-nacional/2020/09/alerta-indigena-covid-19-aplicativo-gratuito-para-casos-de-covid-19-na-regiao,
Lições da covid: o que a médica paulistana aprendeu com indígenas do Amapá... - Veja mais em https://www.uol.com.br/vivabem/colunas/cristiane-segatto/2020/08/05/licoes-da-covid-o-que-a-medica-paulistana-aprendeu-com-indigenas-do-amapa.htm?cmpid=copiaecola,Artigo / Reportagem,https://www.uol.com.br/vivabem/colunas/cristiane-segatto/2020/08/05/licoes-da-covid-o-que-a-medica-paulistana-aprendeu-com-indigenas-do-amapa.htm,
STF prossegue nesta quarta-feira (5) julgamento de medidas contra a pandemia entre povos indígenas,Artigo / Reportagem,http://portal.stf.jus.br/noticias/verNoticiaDetalhe.asp?idConteudo=448902&tip=UN,
Bomba-relógio da Covid-19 ameaça índios,Artigo / Reportagem,https://oglobo.globo.com/opiniao/bomba-relogio-da-covid-19-ameaca-indios-24561044,Reportagem.docx (https://dl.airtable.com/.attachments/8b3a2c7e88c1e2827e451d949748ec58/4fec6ff3/Reportagem.docx)
Debate virtual divulga chamada para intelectuais indígenas e lança série de curtas sobre as trajetórias indígenas na academia,Artigo / Reportagem,https://portal.fiocruz.br/noticia/debate-virtual-divulga-chamada-para-intelectuais-indigenas-e-lanca-serie-de-curtas-sobre,
Covid-19 Is History’s Biggest Translation Challenge,Artigo / Reportagem,https://www.wired.com/story/covid-language-translation-problem/,
Covid-19: Lessons From the Yanomami,Artigo / Reportagem,https://www.nytimes.com/2020/04/27/opinion/yanomami-covid-brazil.html,
"Vulnerabilidades, impactos e o enfrentamento à COVID-19 no contexto dos povos indígenas",Vídeo,https://www.youtube.com/watch?v=b3I1kMawC1Q&feature=youtu.be,webnar - texto.docx (https://dl.airtable.com/.attachments/d0d4c9fb78eb33ab4ad540eaa59573d1/b2e34cec/webnar-texto.docx)
CORONAVÍRUS: OS DESAFIOS DA ATUAÇÃO COM MIGRANTES E REFUGIADOS DURANTE A PANDEMIA,Artigo / Reportagem,https://www.csem.org.br/csem_em_foco/os-desafios-de-atuacao-com-migrantes-e-refugiados-durante-a-pandemia-do-coronavirus/,
Crianças venezuelanas de seis meses e 12 anos testam positivo para coronavírus em Roraima,Artigo / Reportagem,"https://www.roraimaemtempo.com/ultimas-noticias/criancas-venezuelanas-de-seis-meses-e-12-anos-testam-positivo-para-coronavirus-em-roraima,355490.jhtml",
Vídeos em línguas indígenas orientam como combater o coronavírus,Vídeo,https://correiodolavrado.com.br/2020/04/15/videos-em-linguas-indigenas-orientam-como-combater-o-coronavirus/,
Dentista do DSEI de Cuiabá grava vídeo na língua dos Enawenês-nawê com alertas sobre o coronavírus,Artigo / Reportagem,https://g1.globo.com/mt/mato-grosso/noticia/2020/03/24/dentista-do-dsei-de-cuiaba-grava-video-na-lingua-dos-enawenes-nawe-com-alertas-sobre-o-corona-virus.ghtml,
Seminário Virtual do IRID: Migrações e a Covid 19,Vídeo,https://www.youtube.com/watch?v=wLwrVryzVU4&feature=youtu.be,
"DIASPO-TOGO-BRASIL CONTRA COVID-19: ""PODEMOS SALVAR VIDAS!""",Campanha,https://www.vakinha.com.br/vaquinha/diaspora-togolaise-no-brasil-esta-em-guerra-contra-covid-19-podemos-salvar-vidas,
CINCO MOTIVOS PARA NÃO ESQUECER DOS REFUGIADOS NA LUTA CONTRA A COVID-19,Artigo / Reportagem,http://www.csem.org.br/noticias/cinco-motivos-para-nao-esquecer-dos-refugiados-na-luta-contra-a-covid-19/?utm_source=newsletter&utm_medium=email&utm_term=https%3A%2F%2Fwww.csem.org.br%2Fnoticias%2Fcinco-motivos-para-nao-esquecer-dos-refugiados-na-luta-contra-a-covid-19%2F&utm_content&utm_campaign=Newsletter+CSEM,
,,https://ufam.edu.br/noticias-destaque/1316-icet-elabora-cartilhas-para-informar-sobre-pandemia.html,
,,https://www.ufpr.br/portalufpr/noticias/conheca-as-versoes-acessiveis-da-cartilha-ilustrada-da-rede-ufpr-de-combate-a-covid-19-que-auxiliam-cegos-e-surdos/,
,,http://www.uff.br/?q=cartilha-em-libras-o-que-e-o-novo-coronavirus,