Nome da Publicação,Área,Tipo de material,Tópicos / Assuntos,Órgão/Instituição,Idioma,Arquivo,Link p/ acesso
Informações e materiais - WARAO,Intérpretação,Documento com links,,variadas,"Português,Warao",Indígenas warao material.pdf (https://dl.airtable.com/.attachments/867f0a1d355b5ac473e3df9e84a5e49f/bba4d58a/Indgenaswaraomaterial.pdf),
Guidelines for interpreting remotely in the healthcare setting for interpreters,Intérpretação,Orientações,,eCALD /  Waitematā District Health Board (WDHB),Inglês,Handout-2-Module-201-Guidelines.pdf (https://dl.airtable.com/.attachments/4feaf0228037985c2325a8f4c81586b0/ecc0b6c7/Handout-2-Module-201-Guidelines.pdf),
A national code of ethics for interpreters in healthcare,Intérpretação,Código de ética,,The National Council on Interpreting in Health Care - NCIHC,Inglês,NCIHC National Code of Ethics.pdf (https://dl.airtable.com/.attachments/3d090a65aab334b62281833d345e194d/4b96ee58/NCIHCNationalCodeofEthics.pdf),
Providing Interpreting Services During COVID-19,Intérpretação,Cartilha,,ALC / ATA / CCHI / CHIA / CºPTIC / NCIHC / InterpretAmerica,Inglês,Covid_Best_Practices_Guide (1).pdf (https://dl.airtable.com/.attachments/571b1ada9ce364998eb5576f5e5c36aa/07f8dc26/Covid_Best_Practices_Guide1.pdf),
Materiais infirmativos multilíngue sobre Covid-19,Informativo,Documento com links,Links úteis,variadas,Português,material informativo sobre covid multilingue.pdf (https://dl.airtable.com/.attachments/61cb5ce57ed09e2b10376d00cf6ce9a8/7aa2bf4c/materialinformativosobrecovidmultilingue.pdf),
Informações - Cartilha e Podcasts - Digmar Jiménez,Informativo,Documento com links,Links úteis,variadas,Português,Cartilhas informativas sobre COVID-19 para noroeste amazônico.pdf (https://dl.airtable.com/.attachments/8a91a4f82797f9b806009134204ecee5/b4bc38d1/CartilhasinformativassobreCOVID-19paranoroesteamaznico.pdf),
Repositório de materiais relacionados ao COVID - vários idiomas,Informativo,"Cartilhas, folders, Cards e mídias",Links úteis,variadas,,,https://trello.com/b/Kob3R0Nh/r4v-covid-19-content
Coronavirus Advice - Lates government guidance translated into 60 languages,Informativo,Panfleto,"O que é COVID-19 (Corona vírus),Sintomas,Isolamento Social,Transmissão,Covid e Imigração,Cuidados pessoais",UK Government - United Kingdom National Health Service,VARIADOS,English-Covid19-Guidance.pdf (https://dl.airtable.com/.attachments/205a5d8c638e112895cf0ad94a24a103/32a5c2d2/English-Covid19-Guidance.pdf),https://www.doctorsoftheworld.org.uk/coronavirus-information/?fbclid=IwAR2xmS843EULmYPOmM5IXex6gjRDaJ0wfjJTZNXwLWLXiOHyG_jjyJp3Edc
Cartilha Poliglota - Comunicação sobre saúde com Indígenas Warao e Eñepa,Informativo,Cartilha,"Saúde indígena,Folclore Indígena,""Doenças respiratórias (Gripe, asma, tuberculose...)"",Direito à saúde do solicitante de refúgio,Medicina tradicional Warao,Medicina tradicional Eñepa,Diagnósticos,Recomendações",ACNUR / FRATERNIDADE Federação Humanitária Internacional,"Espanhol,Português,Warao",Cartilha Saúde Indígenas Warao e Eñepa español portugues.pdf (https://dl.airtable.com/.attachments/7553d72c8140c5e4d1dff9eedba4153e/dd76051c/CartilhaSadeIndgenasWaraoeEepaespaolportugues.pdf),
Manitas Brilhantes,Informativo,Cartilha,"Atividades Infantis,Educação infantil,Higiene pessoal,Hábitos saudáveis",Cáritas Brasileira,"Espanhol,Português",Cáritas cartilla manitas brillantes Crianças ES_POR.pdf (https://dl.airtable.com/.attachments/0fed8edbc5e4425f76bdd3e2b6ac9d00/9f193683/CritascartillamanitasbrillantesCrianasES_POR.pdf),
Cartilha COVID - Dâw,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Dâw,Covid_daw(1)(1)(1).pdf (https://dl.airtable.com/.attachments/8344fe8b883d59f1182805a098a1415b/22705a05/Covid_daw111.pdf),
Cartilha COVID - Baniwa,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Baniwa,Covid_baniwa(1)(5).pdf (https://dl.airtable.com/.attachments/f7229ab57af5518af41740352bd846fc/f89fa588/Covid_baniwa15.pdf),
Coronavírus - série pequenos cientistas,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,A Pandemia,Isolamento Social,Sintomas,Prevenção,Glossário pandêmico / Terminologia",UFMT,Português,Coronavírus_serie pequenos cientistas UFMT_Sinop.pdf (https://dl.airtable.com/.attachments/574014207284615d5301a1e27d2b445f/6119d1c8/Coronavirus_seriepequenoscientistasUFMT_Sinop.pdf),
Cartilha COVID - Neenhgat,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Neenhgat,Covid_neenhgatu(1)(1).pdf (https://dl.airtable.com/.attachments/3f4341c270b93d3526596390d89488d3/4b85264b/Covid_neenhgatu11.pdf),
Orientações de Acesso aos serviços de saúde em Curitiba,Informativo,Cartaz,"Sintomas,Se estiver infectado,Situação vacinal,Telefones úteis (Curitiba),Teleconsultas,Orientações gerais",UFPR / SUS,Português,Acesso à saúde Curitiba-Portugues.pdf (https://dl.airtable.com/.attachments/666f21afb514ee42e6e8e1c0f18b25b4/5c6be0cd/AcessosadeCuritiba-Portugues.pdf),
HELP ACNUR - Corona Vírus: Informações importantes,Informativo,Artigo em site,"O que é COVID-19 (Corona vírus),Prevenção,""Atendimento à mulher, à criança, LGBTI, Terceira Idade, Psicossocial"",Documentação e CONARE,Interpretação gratuita,Prevenção do tráfico de pessoas e exploração do trabalho,Auxílio Emergencial,""Trabalho, renda e oportunidades"",Cadastro de currículo,Trânsito fronteiriço,""Indígenas Warao e Eñepa (página dedicada, com links)"",""Solicitação de refúgio, residência e naturalização"",Residência temporária para Haitianos,""Documentação (Carteira RNE, Certidão de condição de refugiado, CPF, CTPS, Passaporte)"",""Onde encontrar ajuda (Orientação legal, registro de solicitação de refúgio, recurso junto ao CONARE, orientações sobre meios de vida, assistência educacional e social"",Direitos e deveres do refugiado e do solicitante,""Programa de interiorização (funcionamento, modalidades e como se inscrever)"",""Legislação (Migração, Refugiados, Apátridas e Resoluções do CONARE"",Apatridia,""Viver no Brasil (Moradia/abrigamento, educação, trabalho e renda, saúde, atividade bancária)"",""Material informativo (Help, SISCONARE, Cartilha de Direitos Trabalhistas, Cartilha de Inclusão Financeira)"",Contate-nos (ACNUR)",ACNUR,Português,ACNUR HELP Brasil - COVID 19 Ajuda para refugiados e solicitantes de refúgio.pdf (https://dl.airtable.com/.attachments/13315a565ea7a06e376ad74d25ec3c65/b2226481/ACNURHELPBrasil-COVID19Ajudapararefugiadosesolicitantesderefgio.pdf),https://help.unhcr.org/brazil/coronavirus/
Cartilha COVID - Tukano,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",Instituto Socioambiental - ISA,Tukano,Covid_tukano(2).pdf (https://dl.airtable.com/.attachments/936fbe0c74b78217a01c9e884c7ba9b5/e007218e/Covid_tukano2.pdf),
LA SALUD MENTAL DURANTE EL BROTE DE COVID-19,Informativo,Folder,"Saúde mental durante a Pandemia,Cuidados pessoais,Atividades Infantis,Lazer e atividades lúdicas,Inteligência emocional,Agressão contra a mulher,Telefones úteis,Cansaço físico e mental",IMDH - ACNUR,Espanhol,Folder - IMDH - Versao 3 - Web (1).pdf (https://dl.airtable.com/.attachments/58d53958e8a1f6a2d53234bb2285ce00/e21ecbe6/Folder-IMDH-Versao3-Web1.pdf),
Novo Coronavirus - HEALTH IN SUS IS EVERONE'S RIGHT,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Direito à saúde do solicitante de refúgio,Saúde pública gratuita",ACNUR / SUS / Governo do Rio de Janeiro,"Inglês,Português",orientacoes GRJ_EN para_imigrantes_e_refugiados_coronavirus.pdf (https://dl.airtable.com/.attachments/19bbcd068ad79822800eac56d0d5d9a6/0f708992/orientacoesGRJ_ENpara_imigrantes_e_refugiados_coronavirus.pdf),
Novo Coronavirus - LA SANTE DANS LE SUS EST UN DROIT POUR TOUS,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Direito à saúde do solicitante de refúgio,Saúde pública gratuita",ACNUR / SUS / Governo do Rio de Janeiro,"Francês,Português",orientacoes GRJ FR_para_imigrantes_e_refugiados_coronavirus.pdf (https://dl.airtable.com/.attachments/5b8a9653cd91535834ec9b2cf4223255/48accdb6/orientacoesGRJFR_para_imigrantes_e_refugiados_coronavirus.pdf),
Novo Coronavirus - A SAÚDE NO SUS É DIREITO DE TODOS,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Direito à saúde do solicitante de refúgio,Saúde pública gratuita",ACNUR / SUS / Governo do Rio de Janeiro,Português,Orientacoes GRJ POR-para-imigrantes-e-refugiados-coronavirus.pdf (https://dl.airtable.com/.attachments/e2e1f5158b852a9b181dc4083d8c8f96/a8704c86/OrientacoesGRJPOR-para-imigrantes-e-refugiados-coronavirus.pdf),
Novo Coronavirus - LA SALUD EN EL SUS ES UN DERECHO DE TODOS,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Direito à saúde do solicitante de refúgio,Saúde pública gratuita",ACNUR / SUS / Governo do Rio de Janeiro,"Espanhol,Português",orientacoes GRJ_ES para_imigrantes_e_refugiados_coronavirus.pdf (https://dl.airtable.com/.attachments/74e865313c222713e968b72a92b973ed/17587967/orientacoesGRJ_ESpara_imigrantes_e_refugiados_coronavirus.pdf),
Quais os cuidados ao chegar em casa?,Informativo,Folder,"Isolamento Social,O que fazer ao chegar em casa,Cuidados pessoais,Higienização de objetos e ambientes,Instruções para prevenir a contaminação",UFPR,Português,PORT Quais os cuidados com o coronavirus ao chegar em casa WPP.pdf (https://dl.airtable.com/.attachments/c586c0ce62fa26ae7e5e025845abf867/046e0deb/PORTQuaisoscuidadoscomocoronavirusaochegaremcasaWPP.pdf),
MIGRAÇÕES INTERNACIONAIS e a Pandemia de COVID-19,Informativo,Cartilha,"Desafios e ações das Instituições e da sociedade diante da pandemia,Inserção Laboral,Exploração Laboral,Atuação da DPU em Defesa de Migrantes,Migrações Internacionais e Pandemia,Contexto da Pandemia: Direitos de Imigrantes e Refugiados e tema emergentes,Contextos Nacionais das Migrações Internacionais e a Pandemia,Contextos das Migrações Internacionais e Pandemia em São Paulo,Relatos de Mobilidade Estudantil e Pandemia",UNICAMP,Português,UNFPA Migrações Internacionais e a pandemia de COVID_19 2020.pdf (https://dl.airtable.com/.attachments/0a89f86beb8fcb226d61cb061c2410bc/17cbc301/UNFPAMigraesInternacionaiseapandemiadeCOVID_192020.pdf),
Brasil: Como limpar suas mãos 2 - População indígena Warao,Informativo,Folder,"Cuidados pessoais,Higiene pessoal",OPS - OMS,Warao,jabon-limpiarse-las-manos_warao.pdf (https://dl.airtable.com/.attachments/ebf9c960395a4b410ebc42277b1d678b/6ec8dc10/jabon-limpiarse-las-manos_warao.pdf),
Resources for Language Access during COVID-19,Informativo,Site com links informativos variados,"Links úteis,Acessibilidade Linguística,Glossário pandêmico / Terminologia,Interpretação médica,Covid e Imigração",The National Council on Interpreting in Health Care - NCIHC,Inglês,,https://ncihc.memberclicks.net/resources-for-covid-19
Impacto da Pandemia de Covid-19 nas Migrações Internacionais no Brasil - Resultados de Pesquisa,Artigo,Resultado de Pesquisa,"Covid e Imigração,Resultado de Pesquisas,Características gerais dos respondentes,Aspectos da migração ao Brasil,Inserção laboral durante a pandemia,Direitos sociais e a pandemia",PUC Minas / UNICAMP,Português,COVID NAS MIGRAÇÕES INTERNACIONAIS.pdf (https://dl.airtable.com/.attachments/0fd14cdcbb1997b7e61aac3e24fc3958/f1938cb7/COVIDNASMIGRACOESINTERNACIONAIS.pdf),
Orientações aos Povos Indígenas:  Coronavírus & Auxílio Emergencial,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Isolamento Social,Sintomas,Soberania e Segurança Alimentar,Grupo de Risco,Auxílio Emergencial,Prevenção",APIB (Articulação dos Povos Indígenas do Brasil),Português,APIB_Orientações.pdf (https://dl.airtable.com/.attachments/65c3caeb49c2a5c2ac17c9ae411e1ab5/ea59257b/APIB_Orientaes.pdf),
Povos Indígenas no enfrentamento à Covid19,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Assistência Médica,Transmissão,Grupo de Risco,Prevenção,Uso de máscara,Se estiver infectado,Isolamento Social",CIMI (Conselho Indigenista Missionário),Português,CIMI_Cartilha.pdf (https://dl.airtable.com/.attachments/8cb0d75bf323a65ee0e7689259c877d0/46c1b80d/CIMI_Cartilha.pdf),
ORIENTAÇÕES AOS POVOS E Comunidades Tradicionais,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Isolamento Social,Prevenção,Uso de máscara,Sintomas,Soberania e Segurança Alimentar,Grupo de Risco,Auxílio Emergencial",Rede de Povos e Comunidades tradicionais do Brasil,Português,Auxilio-Povos-e-Comunidades-Tradicionais-Covid-IMPRIMIR.pdf (https://dl.airtable.com/.attachments/98321e0b3500ec70b71eb691f91b6d4e/efae7384/Auxilio-Povos-e-Comunidades-Tradicionais-Covid-IMPRIMIR.pdf),
Plano de enfrentamento da covid-19 no Brasil,Informativo,Cartilha,,APIB (Articulação dos Povos Indígenas do Brasil),Português,Plano de Enfrentamento Covid 19.pdf (https://dl.airtable.com/.attachments/cfe4b12dc3ffe01273b20c211edfbd3a/12e20be7/PlanodeEnfrentamentoCovid19.pdf),
Escondedor de bocas,Informativo,"Banners, folders e cartões",,Hutukara Associação Yanomami,"Yanomae,Nimam,Sanöma ,Yanomam",122001471_10157336655986681_1922527960912463712_o.pdf (https://dl.airtable.com/.attachments/4de3b809cf2bb160002b338d83c0a064/930c2b66/122001471_10157336655986681_1922527960912463712_o.pdf),https://drive.google.com/drive/folders/1RMPk5JfyQWfFncg7-frRXY1Wb7KmskFJ
Folder Wapichana (Português),Tradução,Folder,"O que é COVID-19 (Corona vírus),Transmissão,Prevenção",CIR,Português,FOLDERPORTcomunidadesindgenas.pdf (https://dl.airtable.com/.attachments/b0ef672d1299c28d1f49eaf4277dbc5b/34ecc790/FOLDERPORTcomunidadesindgenas.pdf),
Folder Wapichana,Informativo,Folder,"O que é COVID-19 (Corona vírus),Transmissão,Prevenção",CIR,Wapichana,FOLDER-WAPICHANA-1.pdf (https://dl.airtable.com/.attachments/2a3cb61a832545eb16ddb165733c83b9/1166eac8/FOLDER-WAPICHANA-1.pdf),
Cartilha Baniwa,Informativo,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",ISA- Instituto Socioambiental,Baniwa,Cartilha- covid- Ba.pdf (https://dl.airtable.com/.attachments/c294ff1e0d96f728ff580f64c64fa4fe/f968ebcb/Cartilha-covid-Ba.pdf),
Cartilha Baniwa (Português),Tradução,Cartilha,"O que é COVID-19 (Corona vírus),Transmissão,Grupo de Risco,Sintomas,Se outro estiver infectado,Prevenção,Isolamento Social,Fake News",ISA- Instituto Socioambiental,Português,Cartilha em português.pdf (https://dl.airtable.com/.attachments/5ef5344668cf52325bc8736adec91d92/b26e2fa7/Cartilhaemportugus.pdf),
Coronavírus e as Comunidades Tradicionais,Informativo,Guia/Cartilha,"O que é COVID-19 (Corona vírus),Sintomas,Transmissão,Grupo de Risco,Isolamento Social,Se estiver infectado,Auxílio Emergencial",Ministério Público Federal ,Português,Cartilha MPF.pdf (https://dl.airtable.com/.attachments/cbd318eef07410f97607da96900fa12f/fa8497c2/CartilhaMPF.pdf),
Ações da Funai no contexto da Covid-19,Informativo,Cartilha,"Transmissão,Isolamento Social,Sintomas,Assistência Médica,Notificação de caso",FUNAI,Português,Cartilha para Funai - COVID-19.pdf (https://dl.airtable.com/.attachments/300d3c87a27b760b4efd46637799c35e/f0d0dae6/CartilhaparaFunai-COVID-19.pdf),
COVID-19: QUAIS OS CUIDADOS AO CHEGAR EM CASA ?,Informativo,Panfletos,,,,,https://www.pbmihufpr.com/post/quais-cuidados-ao-chegar-em-casa?fbclid=IwAR01ngcMEHt2TD3ko9NZQVn0HzLYZzz1z6MgDnKVGnKcDKGQVgrLgcNxmvs
Epidemia Eterna na Terra Yanomami - PODCAST O Assunto,Informativo,Podcast - Spotfy,,G1 - Renata Lo Prete,Português,,https://open.spotify.com/episode/50NWARGAvORvc7cXv2IY58?si=xRFoJLbvTwKSvCpV1Q9MuQ
O que é o Coronavírus? O novo Coronavírus COVID-19? | IMEB,Informativo,Vídeo - Youtube,,Clínica IMEB,Português,,https://youtu.be/2l2FkU006bU
O QUE DIZEM PESQUISADORES E CIENTISTAS DE TODO O MUNDO EM REDES SOCIAIS ACADÊMICAS E PROFISSIONAIS,Artigo,Artigo,,Instituto Butantan,Português,,https://coronavirus.butantan.gov.br/publicacoes-cientificas
Glossário de Libras do Coronavírus Covid 19,Informativo,Vídeo - Youtube,,Unitevê - TV Universitária da UFF,"Libras,Português",,https://youtu.be/-snZ0P7x_0A
COVID-19 EM LIBRAS: Quais os sintomas do Coronavirus?,Informativo,Vídeo - Youtube,,Audiovisual TILSP,"Libras,Português",,https://youtu.be/Rn3Z-wpQChk
COVID-19 - CORONA VIRUS [EM LIBRAS],Informativo,Vídeo - Youtube,,SignaEdu,"Libras,Português",,https://youtu.be/eTdoGDazlzg
COVID-19 EM LIBRAS: O que é Coronavírus? E o Covid-19 é a mesma coisa?,Informativo,Vídeo - Youtube,,Audiovisual TILSP,"Libras,Português",,https://youtu.be/Hn7orHZ2mU8
Coronavírus: conheça novos sintomas que podem indicar que você está com covid-19,Informativo,Vídeo - Youtube,,Catraca Livre,Português,,https://youtu.be/cW7Ts1hTOe0
COIAB e IPAM vencem prêmio Empreendedor Social do Ano com aplicativo de monitoramento,Artigo,Artigo em Site,,COIAB,Português,,https://coiab.org.br/conteudo/coiab-e-ipam-vencem-pr%C3%AAmio-empreendedor-social-do-ano-com-aplicativo-de-1607389387957x892779126617014300
Conhecimentos ancestrais fortalecidos: Encontro no Tiquié reúne Kumuã para discutir Covid-19 e cria coordenação de saberes tradicionais indígenas,Artigo,Artigo em Site,,FOIRN Terra e Cultura,Português,,https://foirn.blog/2020/12/10/conhecimentos-ancestrais-fortalecidos-encontro-no-tiquie-reune-kumua-para-discutir-covid-19-e-cria-coordenacao-de-saberes-tradicionais-indigenas/?fbclid=IwAR0DOArW9okeNGVf-xadPq-9BldqGZJyLaW4SO046f4fecqwbd5Wdt_9n3c
"Evento: Lançamento dos Livros Coronavírus nas línguas: Macuxi, Wai Wai e Wapichana ",Informativo,Artigo em Site,,Universidade Federal de Roraima - UFRR,Português,Lanamentodolivrocoronavirus.jpeg (https://dl.airtable.com/.attachments/70c6eba08967fd4fdbf92d05c13fd261/f54e8626/Lanamentodolivrocoronavirus.jpeg),https://ufrr.br/ultimas-noticias/6719-editora-da-ufrr-lanca-livros-sobre-coronavirus-nas-linguas-indigenas-macuxi-wai-wai-e-wapichana
Comissão aprova projeto que torna idioma indígena língua cooficial em municípios com aldeias Fonte: Agência Câmara de Notícias,Informativo,Artigo em Site,,Câmara dos Deputados,Português,,https://www.camara.leg.br/noticias/625266-comissao-aprova-projeto-que-torna-idioma-indigena-lingua-cooficial-em-municipios-com-aldeias/
Novos estudos reforçam evidência de que imunidade à Covid-19 é duradoura,Informativo,Artigo em Site,,Revista GALILEU,Português,,https://revistagalileu.globo.com/Ciencia/Saude/noticia/2020/11/novos-estudos-reforcam-evidencia-de-que-imunidade-covid-19-e-duradoura.html
Cadernos de Políticas Sociais – Povos indígenas e o enfrentamento à pandemia de covid-19: experiências internacionais,Artigo,Publicações,,ANDEPS - Associação Nacional da Carreira de Desenvolvimento de  Políticas Sociais,Português,cadernovol1-covidindigenas_final2020.pdf (https://dl.airtable.com/.attachments/ba1910903a6fe9773cf5efaa0022a4ad/56f43fc5/cadernovol1-covidindigenas_final2020.pdf),http://andeps.org.br/2020/12/21/cadernos-de-politicas-sociais-povos-indigenas-e-o-enfrentamento-a-pandemia-de-covid-19-experiencias-internacionais/
Cartilha - Covid-19: preservar a vida é o melhor presente neste fim de ano,Informativo,Publicação,,FIOCRUZ,Português,_cartilha_cuidados_final-de-ano_2020-12-15.pdf (https://dl.airtable.com/.attachments/49283ffbe0099aecb193e41e33f9921e/a4106d21/_cartilha_cuidados_final-de-ano_2020-12-15.pdf),https://agencia.fiocruz.br/sites/agencia.fiocruz.br/files/u35/_cartilha_cuidados_final-de-ano_2020-12-15.pdf
EVISTA HUMANIDADES 64 - O espanto e a dor diante da COVID-19,Informativo,Publicação,,UnB - Universidade de Brasília,Português,v4_RevistaHumanidades64_impresso_PagDupla_Web.pdf (https://dl.airtable.com/.attachments/6852104448f71927052cd72b3d0d685d/a5d634da/v4_RevistaHumanidades64_impresso_PagDupla_Web.pdf),https://www.editora.unb.br/downloads/v4_RevistaHumanidades64_impresso_PagDupla_Web.pdf
Refugiados e Migrantes podem ter direito ao Auxílio Emergencial,Informativo,Artigo em site,,Ministérios da Saúde - Rede SUAS,"Português,Inglês,Espanhol,Francês,Warao,Árabe",Apoios-por-perda-de-renda-Mobile-PT.pdf (https://dl.airtable.com/.attachments/5e32c32a510617f97d31469c43aab54c/1a163220/Apoios-por-perda-de-renda-Mobile-PT.pdf),http://blog.mds.gov.br/redesuas/auxilio-emergencial-para-refugiados-e-migrantes/
Dados da Interiorização de migrantes e refugiados venezuelanos,Informativo,Artigo em site,,Ministérios da Saúde - Rede SUAS,Português,,http://aplicacoes.mds.gov.br/snas/painel-interiorizacao/
Aplicativo fornece dados sobre a pandemia para povos indígenas,Informativo,Artigo em site,,EBC - Empresa Brasil de Comunicação,"Português,Wapichana",,https://radios.ebc.com.br/tarde-nacional/2020/09/alerta-indigena-covid-19-aplicativo-gratuito-para-casos-de-covid-19-na-regiao
COVID-19 - Vacinação Indígena,Informativo,Imagens,,,,"WhatsApp Image 2021-01-23 at 09.57.38.jpeg (https://dl.airtable.com/.attachments/f82f0712334c09a8585561aa79bc8a5b/66c98da9/WhatsAppImage2021-01-23at09.57.38.jpeg),WhatsApp Image 2021-01-21 at 19.56.43.jpeg (https://dl.airtable.com/.attachments/5b39e6589503480c0918b5628eef3cd9/688815a3/WhatsAppImage2021-01-21at19.56.43.jpeg)",
Manifesto pela Vida: Vacinação para todos e todas os/as indígenas no Brasil!,Informativo,Artigo em site,,APIB,Português,,https://apiboficial.org/2021/01/22/manifesto-pela-vida-vacinacao-para-todos-e-todas-osas-indigenas-no-brasil/
COVID-19 EM LIBRAS: Existem vacina para Covid-19? E tratamento?,Informativo,Vídeo - Youtube,,Audiovisual TILSP,"Libras,Português",,https://youtu.be/IM52ekxBOcY
Vacina parente!,Informativo,Imagem,,Associação Floresta Protegida,,WhatsApp Image 2021-01-24 at 13.01.53.jpeg (https://dl.airtable.com/.attachments/5d77c24fdd962570ef2eae2a6041c3cf/11e70e2a/WhatsAppImage2021-01-24at13.01.53.jpeg),
"'Contar mortes de parentes e pessoas próximas gera muita dor', diz líder indígena sobre app",Informativo,Artigo em site,,Folha de São Paulo,Português,,https://www1.folha.uol.com.br/empreendedorsocial/2021/01/contar-mortes-de-parentes-e-pessoas-proximas-gera-muita-dor-diz-lider-indigena-sobre-app.shtml
Manual de Libras para Ciências: A Célula e o Corpo Humano,Artigo,Publicação,,Universidade Federal do Piauí - UFPI,"Libras,Português",EBOOK_-_MANUAL_DE_LIBRAS_PARA_CIENCIA-_A_CëLULA_E_O_CORPO_HUMANO20200727155142.pdf (https://dl.airtable.com/.attachments/21ebab1f0b2a6be4f4032e4884b0da80/599cebae/EBOOK_-_MANUAL_DE_LIBRAS_PARA_CIENCIA-_A_CLULA_E_O_CORPO_HUMANO20200727155142.pdf),https://www.ufpi.br/arquivos_download/arquivos/EBOOK_-_MANUAL_DE_LIBRAS_PARA_CIENCIA-_A_C%C3%ABLULA_E_O_CORPO_HUMANO20200727155142.pdf
Ágora Abrasco | Painel - Pandemia na Amazônia: crise e caos,Informativo,Vídeo - Youtube,,TV ABRASCO,Português,,https://youtu.be/ZLOqgOO02e4
Informe Técnico: Campanha Nacional de Vacinação contra a COVID-19,Informativo,Publicação,,Ministério da Saúde,Português,Informe_Técnico_Vacina_COVID-19.pdf (https://dl.airtable.com/.attachments/64d3e569239510980a18ef6dc133d31d/e37c16e3/Informe_Tecnico_Vacina_COVID-19.pdf),
CAM participa de cartilha multilíngue para a assistência à saúde de migrantes com Governo do Estado e OIM,Informativo,Artigo em site,,AESC,Português,Cartilha-para-Acolhimento-de-Migrantes.pdf (https://dl.airtable.com/.attachments/4ce101aa9a7afa1422fce30bce72a561/3bf4fb9b/Cartilha-para-Acolhimento-de-Migrantes.pdf),https://www.aesc.org.br/cam-participa-de-cartilha-multilingue-para-a-assistencia-a-saude-de-migrantes-com-governo-do-estado-e-oim/
Nota ABRASCO: Vacinação para todas e todos indígenas já!,Artigo,Publicação,,ABRASCO,Português,nota abrasco aba vacina_28_01_21 VF.pdf (https://dl.airtable.com/.attachments/8154c93f9e4d59737e1b57a95ccd63c1/001c292b/notaabrascoabavacina_28_01_21VF.pdf),
O Direito à Saúde dos Povos Indígenas e os Desafios do Enfrentamento da Pandemia da Covid-19 no Contexto de Retorno da Política Indigenista Integracionista no Brasil,Artigo,Publicação,,,Português,4582-16725-1-PB.pdf (https://dl.airtable.com/.attachments/27e6ff7a0abf48a20c1f2825df098c8f/75d354a9/4582-16725-1-PB.pdf),https://www.portaldeperiodicos.idp.edu.br/direitopublico/issue/view/213/showToc
DIREITOS DOS IMIGRANTES E REFUGIADOS EM TEMPOS DE COVID-19 EDIÇÃO 2,Informativo,Publicação,,UniCuritiba / LABRI,Português,Cartilha-2-Edição-Direitos-dos-Imigrantes-e-Refugiados-PT-pdf.pdf (https://dl.airtable.com/.attachments/9142214748cabfa1e08b7331a3dc2533/3559803b/Cartilha-2-Edicao-Direitos-dos-Imigrantes-e-Refugiados-PT-pdf.pdf),file:///C:/Users/Gustavo/Downloads/Cartilha-2-Edic%CC%A7a%CC%83o-Direitos-dos-Imigrantes-e-Refugiados-PT-pdf.pdf
,,Publicação,,,,,
,,,,,,,